Structure ID,Structure Code,Aliases,DVH Objective,Evaluator,Priority,Achieved
PTV_4600,,,D95%[Gy],>=43.7Gy,1,
PTV_4600,,,D95%[Gy],>=46Gy,2,
PTV_6000,,,D95%[Gy],>=57Gy,1,
PTV_6000,,,D95%[Gy],<=63Gy,1,
PTV_6000,,,D95%[Gy],<=60.75Gy,2,
PTV_6000,,,D95%[Gy],>=59.75Gy,2,
PTV_6000,,,D10%[Gy],<=65.12Gy,1,
PTV_6000,,,D10%[Gy],<=63Gy,2,
PTV_6000,,,D0.03cc[Gy],<=66Gy,1,
PTV_6000,,,D0.03cc[Gy],<=64Gy,2,
PTV_5000,,,D95%[Gy],>=47.5Gy,1,
PTV_5000,,,D95%[Gy],>=50Gy,2,
PTV_7500,,,D95%[Gy],>=71.25Gy,1,
PTV_7500,,,D95%[Gy],<=78.75Gy,1,
PTV_7500,,,D95%[Gy],<=75.75Gy,2,
PTV_7500,,,D95%[Gy],>=74.25Gy,2,
PTV_7500,,,D10%[Gy],<=81.4Gy,1,
PTV_7500,,,D10%[Gy],<=78.7Gy,2,
PTV_7500,,,D0.03cc[Gy],<=82.5Gy,1,
PTV_7500,,,D0.03cc[Gy],<=80Gy,2,
SpinalCord,,,D0.03cc[Gy],<=50Gy,1,
BrainStemCore,,,D0.03cc[Gy],<=60Gy,1,
BrainStemCore,,,D0.03cc[Gy],<=55Gy,2,
BrainStemSurf,,,D0.03cc[Gy],<=64Gy,1,
BrainStemSurf,,,D0.03cc[Gy],<=55Gy,2,
OpticChiasm_PRV,,,D0.03cc[Gy],<=60Gy,1,
OpticChiasm_PRV,,,D0.03cc[Gy],<=55Gy,2,
OptNrv_L_PRV,,,D0.03cc[Gy],<=60Gy,1,
OptNrv_L_PRV,,,D0.03cc[Gy],<=55Gy,2,
OptNrv_R_PRV,,,D0.03cc[Gy],<=60Gy,1,
OptNrv_R_PRV,,,D0.03cc[Gy],<=55Gy,2,
Retina_L,,,D0.03cc[Gy],<=50Gy,1,
Retina_L,,,D0.03cc[Gy],<=45Gy,2,
Retina_R,,,D0.03cc[Gy],<=50Gy,1,
Retina_R,,,D0.03cc[Gy],<=45Gy,2,
Brain,,,D5%[Gy],<=81.4Gy,1,
Brain,,,D5%[Gy],<=78.7Gy,1,
Lens_L,,,D0.03cc[Gy],<=10,1,
Lens_L,,,D0.03cc[Gy],<=7,2,
Lens_R,,,D0.03cc[Gy],<=10,1,
Lens_R,,,D0.03cc[Gy],<=7,2,
